"","Group","site","status","replicate","complexity","depth","x20","x30","x40","x45","x50","x55","x60","x65","x70","x75","x80","x85","x100","x110"
"1","2","Geordie  Bay","Out",1,3,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0
"2","2","Geordie  Bay","Out",2,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2","Geordie  Bay","Out",3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2","Geordie  Bay","Out",4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2","Geordie  Bay","Out",5,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2","Geordie  Bay","Out",6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2","Geordie  Bay","Out",7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2","Geordie  Bay","Out",8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2","Parker Point","In",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2","Parker Point","In",2,2,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11","2","Parker Point","In",3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2","Parker Point","In",4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2","Parker Point","In",5,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2","Parker Point","In",6,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15","2","Parker Point","In",7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2","Parker Point","In",8,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"17","2","Parker Point","In",9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2","Parker Point","In",10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","2","Parker Point","In",11,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"20","2","Parker Point","Out",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","2","Parker Point","Out",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2","Parker Point","Out",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","2","Parker Point","Out",4,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","2","Parker Point","Out",5,2,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","2","Parker Point","Out",6,1,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","2","Parker Point","Out",7,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","2","Parker Point","Out",8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2","Parker Point","Out",9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2","Parker Point","Out",10,1,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","1","Geordie  Bay","Out",1,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","1","Geordie  Bay","Out",2,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","1","Geordie  Bay","Out",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","1","Geordie  Bay","Out",4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","1","Geordie  Bay","Out",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","1","Geordie  Bay","Out",6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","1","Geordie  Bay","Out",7,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","1","Geordie  Bay","Out",8,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","1","Geordie  Bay","Out",9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","1","Geordie  Bay","Out",10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","1","Parker Point","In",1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"41","1","Parker Point","In",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","1","Parker Point","In",3,2,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0
"43","1","Parker Point","In",4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","1","Parker Point","In",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","1","Parker Point","In",6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","1","Parker Point","In",7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","1","Parker Point","In",8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","1","Parker Point","In",9,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"49","1","Parker Point","In",10,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"50","1","Parker Point","In",11,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"51","1","Parker Point","Out",1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","1","Parker Point","Out",2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","1","Parker Point","Out",3,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","1","Parker Point","Out",4,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","1","Parker Point","Out",5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","1","Parker Point","Out",6,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","1","Parker Point","Out",7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","1","Parker Point","Out",8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","1","Parker Point","Out",9,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","1","Parker Point","Out",10,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","3","Geordie  Bay","Out",1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","3","Geordie  Bay","Out",2,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","3","Geordie  Bay","Out",3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","3","Geordie  Bay","Out",4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","3","Geordie  Bay","Out",5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","3","Geordie  Bay","Out",6,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","3","Geordie  Bay","Out",7,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
